x-axis,1,2
second,Volt,Volt
-200.000E+00,,
-199.900E+00,,
-199.800E+00,,
-199.700E+00,,
-199.600E+00,,
-199.500E+00,,
-199.400E+00,,
-199.300E+00,,
-199.200E+00,,
-199.100E+00,,
-199.000E+00,,
-198.900E+00,,
-198.800E+00,,
-198.700E+00,,
-198.600E+00,,
-198.500E+00,,
-198.400E+00,,
-198.300E+00,,
-198.200E+00,,
-198.100E+00,,
-198.000E+00,,
-197.900E+00,,
-197.800E+00,,
-197.700E+00,,
-197.600E+00,,
-197.500E+00,,
-197.400E+00,,
-197.300E+00,,
-197.200E+00,,
-197.100E+00,,
-197.000E+00,,
-196.900E+00,,
-196.800E+00,,
-196.700E+00,,
-196.600E+00,,
-196.500E+00,,
-196.400E+00,,
-196.300E+00,,
-196.200E+00,,
-196.100E+00,,
-196.000E+00,,
-195.900E+00,,
-195.800E+00,,
-195.700E+00,,
-195.600E+00,,
-195.500E+00,,
-195.400E+00,,
-195.300E+00,,
-195.200E+00,,
-195.100E+00,,
-195.000E+00,,
-194.900E+00,,
-194.800E+00,,
-194.700E+00,,
-194.600E+00,,
-194.500E+00,,
-194.400E+00,,
-194.300E+00,,
-194.200E+00,,
-194.100E+00,,
-194.000E+00,,
-193.900E+00,,
-193.800E+00,,
-193.700E+00,,
-193.600E+00,,
-193.500E+00,,
-193.400E+00,,
-193.300E+00,,
-193.200E+00,,
-193.100E+00,,
-193.000E+00,,
-192.900E+00,,
-192.800E+00,,
-192.700E+00,,
-192.600E+00,,
-192.500E+00,,
-192.400E+00,,
-192.300E+00,,
-192.200E+00,,
-192.100E+00,,
-192.000E+00,,
-191.900E+00,,
-191.800E+00,,
-191.700E+00,,
-191.600E+00,,
-191.500E+00,,
-191.400E+00,,
-191.300E+00,,
-191.200E+00,,
-191.100E+00,,
-191.000E+00,,
-190.900E+00,,
-190.800E+00,,
-190.700E+00,,
-190.600E+00,,
-190.500E+00,,
-190.400E+00,,
-190.300E+00,,
-190.200E+00,,
-190.100E+00,,
-190.000E+00,,
-189.900E+00,,
-189.800E+00,,
-189.700E+00,,
-189.600E+00,,
-189.500E+00,,
-189.400E+00,,
-189.300E+00,,
-189.200E+00,,
-189.100E+00,,
-189.000E+00,,
-188.900E+00,,
-188.800E+00,,
-188.700E+00,,
-188.600E+00,,
-188.500E+00,,
-188.400E+00,,
-188.300E+00,,
-188.200E+00,,
-188.100E+00,,
-188.000E+00,,
-187.900E+00,,
-187.800E+00,,
-187.700E+00,,
-187.600E+00,,
-187.500E+00,,
-187.400E+00,,
-187.300E+00,,
-187.200E+00,,
-187.100E+00,,
-187.000E+00,,
-186.900E+00,,
-186.800E+00,,
-186.700E+00,,
-186.600E+00,,
-186.500E+00,,
-186.400E+00,,
-186.300E+00,,
-186.200E+00,,
-186.100E+00,,
-186.000E+00,,
-185.900E+00,,
-185.800E+00,,
-185.700E+00,,
-185.600E+00,,
-185.500E+00,,
-185.400E+00,,
-185.300E+00,,
-185.200E+00,,
-185.100E+00,,
-185.000E+00,,
-184.900E+00,,
-184.800E+00,,
-184.700E+00,,
-184.600E+00,,
-184.500E+00,,
-184.400E+00,,
-184.300E+00,,
-184.200E+00,,
-184.100E+00,,
-184.000E+00,,
-183.900E+00,,
-183.800E+00,,
-183.700E+00,,
-183.600E+00,,
-183.500E+00,,
-183.400E+00,,
-183.300E+00,,
-183.200E+00,,
-183.100E+00,,
-183.000E+00,,
-182.900E+00,,
-182.800E+00,,
-182.700E+00,,
-182.600E+00,,
-182.500E+00,,
-182.400E+00,,
-182.300E+00,,
-182.200E+00,,
-182.100E+00,,
-182.000E+00,,
-181.900E+00,,
-181.800E+00,,
-181.700E+00,,
-181.600E+00,,
-181.500E+00,,
-181.400E+00,,
-181.300E+00,,
-181.200E+00,,
-181.100E+00,,
-181.000E+00,,
-180.900E+00,,
-180.800E+00,,
-180.700E+00,,
-180.600E+00,,
-180.500E+00,,
-180.400E+00,,
-180.300E+00,,
-180.200E+00,,
-180.100E+00,,
-180.000E+00,,
-179.900E+00,,
-179.800E+00,,
-179.700E+00,,
-179.600E+00,,
-179.500E+00,,
-179.400E+00,,
-179.300E+00,,
-179.200E+00,,
-179.100E+00,,
-179.000E+00,,
-178.900E+00,,
-178.800E+00,,
-178.700E+00,,
-178.600E+00,,
-178.500E+00,,
-178.400E+00,,
-178.300E+00,,
-178.200E+00,,
-178.100E+00,,
-178.000E+00,,
-177.900E+00,,
-177.800E+00,,
-177.700E+00,,
-177.600E+00,,
-177.500E+00,,
-177.400E+00,,
-177.300E+00,,
-177.200E+00,,
-177.100E+00,,
-177.000E+00,,
-176.900E+00,,
-176.800E+00,,
-176.700E+00,,
-176.600E+00,,
-176.500E+00,,
-176.400E+00,,
-176.300E+00,,
-176.200E+00,,
-176.100E+00,,
-176.000E+00,,
-175.900E+00,,
-175.800E+00,,
-175.700E+00,,
-175.600E+00,,
-175.500E+00,,
-175.400E+00,,
-175.300E+00,,
-175.200E+00,,
-175.100E+00,,
-175.000E+00,,
-174.900E+00,,
-174.800E+00,,
-174.700E+00,,
-174.600E+00,,
-174.500E+00,,
-174.400E+00,,
-174.300E+00,,
-174.200E+00,,
-174.100E+00,,
-174.000E+00,,
-173.900E+00,,
-173.800E+00,,
-173.700E+00,,
-173.600E+00,,
-173.500E+00,,
-173.400E+00,,
-173.300E+00,,
-173.200E+00,,
-173.100E+00,,
-173.000E+00,,
-172.900E+00,,
-172.800E+00,,
-172.700E+00,,
-172.600E+00,,
-172.500E+00,,
-172.400E+00,,
-172.300E+00,,
-172.200E+00,,
-172.100E+00,,
-172.000E+00,,
-171.900E+00,,
-171.800E+00,,
-171.700E+00,,
-171.600E+00,,
-171.500E+00,,
-171.400E+00,,
-171.300E+00,,
-171.200E+00,,
-171.100E+00,,
-171.000E+00,,
-170.900E+00,,
-170.800E+00,,
-170.700E+00,,
-170.600E+00,,
-170.500E+00,,
-170.400E+00,,
-170.300E+00,,
-170.200E+00,,
-170.100E+00,,
-170.000E+00,,
-169.900E+00,,
-169.800E+00,,
-169.700E+00,,
-169.600E+00,,
-169.500E+00,,
-169.400E+00,,
-169.300E+00,,
-169.200E+00,,
-169.100E+00,,
-169.000E+00,,
-168.900E+00,,
-168.800E+00,,
-168.700E+00,,
-168.600E+00,,
-168.500E+00,,
-168.400E+00,,
-168.300E+00,,
-168.200E+00,,
-168.100E+00,,
-168.000E+00,,
-167.900E+00,,
-167.800E+00,,
-167.700E+00,,
-167.600E+00,,
-167.500E+00,,
-167.400E+00,,
-167.300E+00,,
-167.200E+00,,
-167.100E+00,,
-167.000E+00,,
-166.900E+00,,
-166.800E+00,,
-166.700E+00,,
-166.600E+00,,
-166.500E+00,,
-166.400E+00,,
-166.300E+00,,
-166.200E+00,,
-166.100E+00,,
-166.000E+00,,
-165.900E+00,,
-165.800E+00,,
-165.700E+00,,
-165.600E+00,,
-165.500E+00,,
-165.400E+00,,
-165.300E+00,,
-165.200E+00,,
-165.100E+00,,
-165.000E+00,,
-164.900E+00,,
-164.800E+00,,
-164.700E+00,,
-164.600E+00,,
-164.500E+00,,
-164.400E+00,,
-164.300E+00,,
-164.200E+00,,
-164.100E+00,,
-164.000E+00,,
-163.900E+00,,
-163.800E+00,,
-163.700E+00,,
-163.600E+00,,
-163.500E+00,,
-163.400E+00,,
-163.300E+00,,
-163.200E+00,,
-163.100E+00,,
-163.000E+00,,
-162.900E+00,,
-162.800E+00,,
-162.700E+00,,
-162.600E+00,,
-162.500E+00,,
-162.400E+00,,
-162.300E+00,,
-162.200E+00,,
-162.100E+00,,
-162.000E+00,,
-161.900E+00,,
-161.800E+00,,
-161.700E+00,,
-161.600E+00,,
-161.500E+00,,
-161.400E+00,,
-161.300E+00,,
-161.200E+00,,
-161.100E+00,,
-161.000E+00,,
-160.900E+00,,
-160.800E+00,,
-160.700E+00,,
-160.600E+00,,
-160.500E+00,,
-160.400E+00,,
-160.300E+00,,
-160.200E+00,,
-160.100E+00,,
-160.000E+00,,
-159.900E+00,,
-159.800E+00,,
-159.700E+00,,
-159.600E+00,,
-159.500E+00,,
-159.400E+00,,
-159.300E+00,,
-159.200E+00,,
-159.100E+00,,
-159.000E+00,,
-158.900E+00,,
-158.800E+00,,
-158.700E+00,,
-158.600E+00,,
-158.500E+00,,
-158.400E+00,,
-158.300E+00,,
-158.200E+00,,
-158.100E+00,,
-158.000E+00,,
-157.900E+00,,
-157.800E+00,,
-157.700E+00,,
-157.600E+00,,
-157.500E+00,,
-157.400E+00,,
-157.300E+00,,
-157.200E+00,,
-157.100E+00,,
-157.000E+00,,
-156.900E+00,,
-156.800E+00,,
-156.700E+00,,
-156.600E+00,,
-156.500E+00,,
-156.400E+00,,
-156.300E+00,,
-156.200E+00,,
-156.100E+00,,
-156.000E+00,,
-155.900E+00,,
-155.800E+00,,
-155.700E+00,,
-155.600E+00,,
-155.500E+00,,
-155.400E+00,,
-155.300E+00,,
-155.200E+00,,
-155.100E+00,,
-155.000E+00,+19.518E+00,+22.044E+00
-154.900E+00,+19.558E+00,+22.084E+00
-154.800E+00,+19.518E+00,+22.366E+00
-154.700E+00,+19.518E+00,+22.487E+00
-154.600E+00,+19.518E+00,+22.607E+00
-154.500E+00,+19.317E+00,+22.647E+00
-154.400E+00,+19.518E+00,+22.889E+00
-154.300E+00,+19.518E+00,+23.130E+00
-154.200E+00,+19.840E+00,+23.291E+00
-154.100E+00,+19.719E+00,+23.451E+00
-154.000E+00,+19.719E+00,+23.049E+00
-153.900E+00,+19.558E+00,+23.049E+00
-153.800E+00,+19.719E+00,+23.049E+00
-153.700E+00,+19.719E+00,+22.969E+00
-153.600E+00,+19.880E+00,+23.009E+00
-153.500E+00,+19.920E+00,+23.250E+00
-153.400E+00,+19.920E+00,+23.250E+00
-153.300E+00,+19.920E+00,+23.009E+00
-153.200E+00,+19.800E+00,+23.170E+00
-153.100E+00,+19.880E+00,+23.411E+00
-153.000E+00,+19.719E+00,+23.250E+00
-152.900E+00,+19.920E+00,+23.291E+00
-152.800E+00,+19.920E+00,+23.250E+00
-152.700E+00,+19.920E+00,+23.773E+00
-152.600E+00,+19.920E+00,+23.853E+00
-152.500E+00,+19.920E+00,+24.255E+00
-152.400E+00,+19.960E+00,+24.054E+00
-152.300E+00,+19.920E+00,+24.054E+00
-152.200E+00,+20.041E+00,+23.974E+00
-152.100E+00,+19.960E+00,+24.014E+00
-152.000E+00,+20.121E+00,+24.255E+00
-151.900E+00,+19.960E+00,+24.215E+00
-151.800E+00,+20.121E+00,+24.095E+00
-151.700E+00,+20.041E+00,+24.054E+00
-151.600E+00,+19.960E+00,+24.054E+00
-151.500E+00,+20.121E+00,+24.054E+00
-151.400E+00,+20.081E+00,+24.215E+00
-151.300E+00,+20.121E+00,+24.175E+00
-151.200E+00,+20.242E+00,+24.175E+00
